Designator,Mid X,Mid Y,Rotation,Layer
BO1,158.0,-60.35,90.0,top
BO2,158.0,-88.25,90.0,top
BO3,158.0,-117.35,90.0,top
D1,176.526817,-63.675595,90.0,bottom
D10,150.9,-64.05,90.0,bottom
D11,176.526817,-82.925595,90.0,bottom
D12,195.626817,-70.925595,90.0,bottom
D13,214.626817,-66.225595,90.0,bottom
D14,233.826817,-71.125595,90.0,bottom
D15,252.826817,-73.425595,90.0,bottom
D16,74.7,-73.15,90.0,bottom
D17,93.75,-70.75,90.0,bottom
D18,112.75,-66.15,90.0,bottom
D19,131.8,-70.9,90.0,bottom
D2,74.55,-54.25,90.0,bottom
D20,150.6,-82.95,90.0,bottom
D21,176.526817,-101.925595,90.0,bottom
D22,176.626817,-120.975595,90.0,bottom
D23,195.526817,-90.075595,90.0,bottom
D24,195.526817,-109.125595,90.0,bottom
D25,214.426817,-85.325595,90.0,bottom
D26,214.626817,-104.325595,90.0,bottom
D27,233.726817,-90.025595,90.0,bottom
D28,233.926817,-109.025595,90.0,bottom
D29,252.726817,-92.375595,90.0,bottom
D3,195.526817,-51.825595,90.0,bottom
D30,253.026817,-111.525595,90.0,bottom
D31,74.3,-92.2,90.0,bottom
D32,74.55,-111.45,90.0,bottom
D33,93.55,-89.9,90.0,bottom
D34,93.55,-108.75,90.0,bottom
D35,112.6,-85.15,90.0,bottom
D36,112.65,-104.3,90.0,bottom
D37,131.6,-89.8,90.0,bottom
D38,131.6,-109.0,90.0,bottom
D39,150.75,-101.85,90.0,bottom
D4,93.6,-51.75,90.0,bottom
D40,150.75,-121.05,90.0,bottom
D41,264.026817,-138.725595,110.0,bottom
D42,62.614334,-134.600493,70.0,bottom
D43,171.126817,-64.025595,0.0,bottom
D44,145.275,-64.299999,180.0,bottom
D45,190.026817,-52.025595,0.0,bottom
D46,126.275,-52.099999,180.0,bottom
D47,209.251817,-47.275594,0.0,bottom
D48,228.126817,-52.125595,0.0,bottom
D49,107.075,-47.599999,180.0,bottom
D5,214.726817,-47.325595,90.0,bottom
D50,88.25,-51.95,180.0,bottom
D51,247.326817,-54.625595,0.0,bottom
D52,69.025,-54.549999,180.0,bottom
D53,170.926817,-83.125595,180.0,bottom
D54,190.226817,-71.225595,180.0,bottom
D55,209.226817,-66.425595,180.0,bottom
D56,228.226817,-71.325595,180.0,bottom
D57,247.326817,-73.525595,180.0,bottom
D58,145.225,-83.249999,0.0,bottom
D59,126.175,-71.049999,0.0,bottom
D6,233.726817,-52.125595,90.0,bottom
D60,107.325,-66.549999,0.0,bottom
D61,88.325,-71.149999,0.0,bottom
D62,68.925,-73.349999,0.0,bottom
D63,170.926817,-101.925595,0.0,bottom
D64,171.026817,-121.125595,180.0,bottom
D65,190.126817,-90.025595,0.0,bottom
D66,190.026817,-109.225595,180.0,bottom
D67,208.726817,-85.725595,0.0,bottom
